Id,Name,Region,Add,Town,Px,Py
C1_376490000A_100494,果色天鄉,雲林縣,雲林縣林內鄉和興路41-10號,林內鄉,120.597533,23.775173
C1_376490000A_100495,采邑綠工坊,雲林縣,雲林縣林內鄉增產路61號,林內鄉,120.618702,23.770091
C1_376490000A_100510,何記手工日曬麵,雲林縣,雲林縣斗六市中興路113號,斗六市,120.577668,23.725224
C1_376490000A_100511,松花坡種苗園藝社,雲林縣,雲林縣斗六市湖山里檨林路41之1號,斗六市,120.624924,23.694456
C1_376490000A_100513,時光寶屋,雲林縣,雲林縣斗六市湖山里檨林路47號,斗六市,120.620206,23.694079
C1_376490000A_100525,蘿莎玫瑰山莊,雲林縣,雲林縣古坑鄉永光村大湖口46-1號,古坑鄉,120.570468,23.611829
C1_376490000A_100527,古坑綠隧驛站,雲林縣,雲林縣古坑鄉湳仔村湳仔路,古坑鄉,120.540985,23.65934
C1_376490000A_100532,自家莊園,雲林縣,雲林縣古坑鄉光華路190號的隔壁,古坑鄉,120.562872,23.615733
C1_376490000A_100533,谷泉咖啡莊園,雲林縣,雲林縣古坑鄉荷苞村尖山坑路60號,古坑鄉,120.592008,23.657547
C1_376490000A_100534,貝克翰農場,雲林縣,雲林縣古坑鄉永光村光昌路2之28號,古坑鄉,120.553415,23.623927
C1_376490000A_100536,草嶺地質生態國小,雲林縣,雲林縣古坑鄉草嶺村56-8號,古坑鄉,120.694436,23.586337
C1_376490000A_100540,草嶺遊客中心,雲林縣,雲林縣古坑鄉草嶺村40-2號,古坑鄉,120.694061,23.584796
C1_376490000A_100542,華山咖啡大街,雲林縣,雲林縣古坑鄉華山村41號,古坑鄉,120.598111,23.594854
C1_376490000A_100548,樟湖生態國民中小學,雲林縣,雲林縣古坑鄉村石橋50-2號,古坑鄉,120.631868,23.60416
C1_376490000A_100549,舊樟湖國小,雲林縣,雲林縣古坑鄉樟湖村樟湖28號,古坑鄉,120.642643,23.618545
C1_376490000A_100563,土庫鎮農會八角倉庫,雲林縣,雲林縣土庫鎮越港里建國路37之1號,土庫鎮,120.397216,23.679334
C1_376490000A_100590,雲林高鐵站,雲林縣,雲林縣虎尾鎮站前東路301號,虎尾鎮,120.416492,23.736334
C1_376490000A_100591,中華機車出租行(斗六租車),雲林縣,雲林縣斗六市(火車站前),斗六市,120.540622,23.711349
C1_376490000A_100593,發鑫車業機車行(虎尾租車),雲林縣,雲林縣虎尾鎮林森路二段203號,虎尾鎮,120.428644,23.704272
C1_376490000A_100637,金鵬巾緻親子館,雲林縣,雲林縣虎尾鎮堀頭里99-2號,虎尾鎮,120.448316,23.719187
C1_376490000A_100656,太子雞生態農場,雲林縣,雲林縣莿桐鄉甘西村5鄰甘西49-28號,莿桐鄉,120.484467,23.75245
C1_376490000A_100665,斗六南聖宮,雲林縣,雲林縣斗六市林頭里南聖路301號,斗六市,120.558363,23.70121
C1_376490000A_100729,奶奶的熊毛巾故事館,雲林縣,雲林縣虎尾鎮埒內里84號,虎尾鎮,120.442738,23.725201
C1_376490000A_100737,虎尾建國眷村,雲林縣,雲林縣虎尾鎮建國一村55號,虎尾鎮,120.42206,23.714354
C1_376500000A_003623,青年嶺步道,嘉義縣,梅山鄉瑞里村，瑞里風景區內,梅山鄉,120.6642,23.53824
C1_376500000A_003624,燕子崖,嘉義縣,梅山鄉瑞里村，瑞里風景區內,梅山鄉,120.6653,23.5357
C1_376500000A_003629,三十六彎,嘉義縣,嘉義縣梅山鄉中山路282號(梅山鄉公所),梅山鄉,120.5963,23.56253
C1_376500000A_003630,梅山公園,嘉義縣,,梅山鄉,120.5571,23.57945
C1_376500000A_003633,綠色隧道,嘉義縣,嘉義縣梅山鄉瑞里村幼葉林6鄰1-1號(瑞太遊客中心),梅山鄉,120.6834,23.54314
C1_376500000A_003639,靈嚴寺,嘉義縣,嘉義縣竹崎鄉桃源村147號,竹崎鄉,120.603,23.47467
C1_376500000A_003662,八仙山寶林禪寺,嘉義縣,嘉義縣民雄鄉松山村後山仔38-2號,民雄鄉,120.504,23.54093
C1_376500000A_003664,三疊溪天臺殿,嘉義縣,嘉義縣溪口鄉疊溪村三疊溪15號,溪口鄉,120.43845,23.58751
C1_376500000A_003683,達娜伊谷生態園區,嘉義縣,阿里山鄉山美村3鄰51號,阿里山鄉,120.6775,23.38301
C1_376500000A_003685,二萬平風景區,嘉義縣,阿里山鄉香山村二萬坪106號,阿里山鄉,120.7898,23.50807
C1_376500000A_003686,伊斯基安娜自然生態區,嘉義縣,,阿里山鄉,120.7774,23.43348
C1_376500000A_003691,沼平公園,嘉義縣,阿里山森林遊樂區內,阿里山鄉,120.8614,23.45003
